#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ-041	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-041	Sponge	NZ-041
NZ-042	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-042	Sponge	NZ-042
NZ-043	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-043	Sponge	NZ-043
NZ-045	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-045	Sponge	NZ-045
NZ-046	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-046	Sponge	NZ-046
NZ-047	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-047	Sponge	NZ-047
NZ-048	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-048	Sponge	NZ-048
NZ-049	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-049	Sponge	NZ-049
NZ-050	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-050	Sponge	NZ-050
NZ-062	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-062	Sponge	NZ-062
NZ-065	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-065	Sponge	NZ-065
NZ-083	2017	Aulocalycidae	Aulocalycidae	Rhabdodictyum n. sp.	Sponge	NZ-083
NZ-84	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-84	Sponge	NZ-84
NZ-85	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-85	Sponge	NZ-85
NZ-120	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-120	Sponge	NZ-120
NZ-121	2017	Euplectellidae	Euplectellidae	Bolosoma sp.	Sponge	NZ-121
NZ-122	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-122
NZ-123	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-123
NZ-124	2017	Euplectellidae	Euplectellidae	Dictyaulus n. sp.	Sponge	NZ-124
NZ-125	2017	Euplectellidae	Euplectellidae	Bolosominae n. gen. 3 sp. 1	Sponge	NZ-125
NZ-128	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-128	Sponge	NZ-128
NZ-129	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-129	Sponge	NZ-129
NZ-130	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-130	Sponge	NZ-130
NZ-133	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-133	Sponge	NZ-133
NZ-135	2017	Pheronematidae	Pheronematidae	Pheronema sp.	Sponge	NZ-135
NZ-136	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-136	Sponge	NZ-136
NZ-137	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-137	Sponge	NZ-137
NZ-138	2017	Pheronematidae	Pheronematidae	Pheronema sp.	Sponge	NZ-138
NZ-153	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-153	Sponge	NZ-153
NZ-158	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-158
NZ-159	2017	Rossellidae	Rossellidae	Bathydorus sp. 1	Sponge	NZ-159
NZ-160	2017	Rossellidae	Rossellidae	Bathydorus sp. 2	Sponge	NZ-160
NZ-161	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-161	Sponge	NZ-161
NZ-162	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-162
NZ-163	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-163
NZ-164	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-164
NZ-165	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-165
NZ-166	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-166
NZ-168	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-168
NZ-169	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-169
NZ-170	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-170	Sponge	NZ-170
NZ-176	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-176
NZ-220	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-220	Sponge	NZ-220
NZ-221	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-221	Sponge	NZ-221
NZ-237	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-237
NZ-240	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-240	Sponge	NZ-240
NZ-241	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-241	Sponge	NZ-241
NZ-254	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-254	Sponge	NZ-254
NZ-273	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-273	Sponge	NZ-273
NZ-274	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-274
NZ-275	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-275	Sponge	NZ-275
NZ-276	2017	Euretidae	Euretidae	Eurete sp. 2	Sponge	NZ-276
NZ-278	2017	Farreidae	Farreidae	Farrea mexicana	Sponge	NZ-278
NZ-279	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-279
NZ-296	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-296
NZ-297	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-297
NZ-298	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-298
NZ-299	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 2	Sponge	NZ-299
NZ-300	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-300
NZ-301	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-301
NZ-302	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-302
NZ-303	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-303	Sponge	NZ-303
NZ-304	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-304	Sponge	NZ-304
NZ-305	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-305	Sponge	NZ-305
NZ-306	2017	Euplectellidae	Euplectellidae	Bolosominae n. gen. 3 sp. 2	Sponge	NZ-306
NZ-310	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-310
NZ-311	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-311	Sponge	NZ-311
NZ-312	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-312	Sponge	NZ-312
NZ-314	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-314	Sponge	NZ-314
NZ-315	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-315
NZ-316	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-316	Sponge	NZ-316
NZ-317	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-317
NZ-318	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-318
NZ-319	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-319
