#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ165	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-165
NZ166	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-166
NZ168	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-168
NZ169	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-169
NZ170	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-170	Sponge	NZ-170
NZ176	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-176
NZ220	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-220	Sponge	NZ-220
NZ221	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-221	Sponge	NZ-221
NZ237	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-237
NZ240	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-240	Sponge	NZ-240
NZ241	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-241	Sponge	NZ-241
NZ254	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-254	Sponge	NZ-254
NZ273	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-273	Sponge	NZ-273
NZ274	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-274
NZ275	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-275	Sponge	NZ-275
NZ276	2017	Euretidae	Euretidae	Eurete sp. 2	Sponge	NZ-276
NZ278	2017	Farreidae	Farreidae	Farrea mexicana	Sponge	NZ-278
NZ279	2017	Rossellidae	Rossellidae	Scyphidium australiense	Sponge	NZ-279
NZ296	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-296
NZ297	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-297
NZ298	2017	Euplectellidae	Euplectellidae	Regadrella okinoseana	Sponge	NZ-298
NZ299	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 2	Sponge	NZ-299
NZ300	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-300
NZ301	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-301
NZ302	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-302
NZ303	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-303	Sponge	NZ-303
NZ304	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-304	Sponge	NZ-304
NZ305	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-305	Sponge	NZ-305
NZ306	2017	Euplectellidae	Euplectellidae	Bolosominae n. gen. 3 sp. 2	Sponge	NZ-306
NZ310	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-310
NZ311	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-311	Sponge	NZ-311
